MGM Alumni Login Credentials
============================================================
Password (same for all): Alumni@123
============================================================

Name                                Email                               Password
-------------------------------------------------------------------------------------
Aditi Kashetwar                     aditi@gmail.com                     Alumni@123
Shubham Ingale                      shubham@gmail.com                   Alumni@123
Rutuja Suryawanshi                  rutuja@gmail.com                    Alumni@123
Prerana Pawar                       prerana@gmail.com                   Alumni@123
Gauri Patwari                       gauri@gmail.com                     Alumni@123
Ajay Kakde                          ajay@gmail.com                      Alumni@123
Gajanan Suryawanshi                 gajanan@gmail.com                   Alumni@123
Vilas Chonde                        vilas@gmail.com                     Alumni@123
Vikas Jangid                        vikas@gmail.com                     Alumni@123
Vijay Lokhande                      vijay@gmail.com                     Alumni@123
Krashnakant Gajbhare                krashnakant@gmail.com               Alumni@123
Anuja Jagdambe                      anuja@gmail.com                     Alumni@123
Sandip Wankhede                     sandip@gmail.com                    Alumni@123
Syed Mizan                          syed@gmail.com                      Alumni@123
Shivshankar Salgar                  shivshankar@gmail.com               Alumni@123
Shubham Chilkewar                   shubhamc@gmail.com                  Alumni@123
Neeta Balla                         neeta@gmail.com                     Alumni@123
Ashwini Lavate                      ashwini@gmail.com                   Alumni@123
Vaibhav Yeotikar                    vaibhav@gmail.com                   Alumni@123
Gouri Deshmukh                      gouri@gmail.com                     Alumni@123
Vinaymahesh Peddisetti              vinaymahesh@gmail.com               Alumni@123
Umadevi Gunale                      umadevi@gmail.com                   Alumni@123
Pooja Thakur                        pooja@gmail.com                     Alumni@123
Bhakti Patil                        bhakti@gmail.com                    Alumni@123
Sneha Deshmukh                      sneha@gmail.com                     Alumni@123
Neha Bais                           neha@gmail.com                      Alumni@123
Vishwesh Patil                      vishwesh@gmail.com                  Alumni@123
Akansha Singhal                     akansha@gmail.com                   Alumni@123
Vaikhari Kulkarni                   vaikhari@gmail.com                  Alumni@123
Keshav Rao                          keshav@gmail.com                    Alumni@123
Kunal Pathak                        kunal@gmail.com                     Alumni@123
Akshay Khot                         akshay@gmail.com                    Alumni@123
Mohammed Azzan Mohiuddin            mohammed@gmail.com                  Alumni@123
Bhagyesh Joshi                      bhagyesh@gmail.com                  Alumni@123
Vinayak Singh Choudhary             vinayak@gmail.com                   Alumni@123
Sanjana Kondalwade                  sanjana@gmail.com                   Alumni@123
Shaikh Mohammad Umer                shaikh@gmail.com                    Alumni@123
Shaikh Shahed                       shaikhs@gmail.com                   Alumni@123
Eshwari Kulkarni                    eshwari@gmail.com                   Alumni@123
Akash Mapari                        akash@gmail.com                     Alumni@123
Govind Deshmukh                     govind@gmail.com                    Alumni@123
Syed Mohiuddin                      syedm@gmail.com                     Alumni@123
Prachiti J.                         prachiti@gmail.com                  Alumni@123
Jay prakash Pandit                  jay@gmail.com                       Alumni@123
Navneeta Kashettiwar                navneeta@gmail.com                  Alumni@123
Harshad Bhalerao                    harshad@gmail.com                   Alumni@123
Vaishnavi Konale                    vaishnavi@gmail.com                 Alumni@123
Prathwikumar selukar                prathwikumar@gmail.com              Alumni@123
Siddhant Jaiswal                    siddhant@gmail.com                  Alumni@123
Rohit Kasturkar                     rohit@gmail.com                     Alumni@123
Yash Deshpande                      yash@gmail.com                      Alumni@123
Sampada Mamidwar                    sampada@gmail.com                   Alumni@123
Sharvari Shewdikar                  sharvari@gmail.com                  Alumni@123
Anuja Pande                         anujap@gmail.com                    Alumni@123
